cat,TARGET_pol,25%,50%,75%,mean,TTR,CTTR,K
descriptive,neutral,-0.17914,0,0.22393,0.022436375432526,0.148212226066897,6.17175356760075,168.364177206265
epistemic,negative,-0.436505,-0.32926,-0.09951,-0.259554769889404,0.162682839814484,6.09029453127699,124.779665637793
epistemic,positive,0.03717,0.14024,0.30464,0.168058972764484,0.046205919395466,3.68258568706409,342.109220840815
legal,negative,-0.39584,-0.28638,0,-0.188387709776751,0.130100076982294,4.68902047447094,249.804284814339
legal,positive,0.06526,0.22393,0.22393,0.167163168581136,0.0372917003721081,2.93184872320707,1530.47129387879
tc,negative,-0.4385,-0.35498,-0.19821,-0.301544038167939,0.108396946564885,4.80505459056613,507.765022758321
tc,positive,0.06238,0.15805,0.33127,0.20513938074121,0.0631929046563193,3.55063156057281,640.332071491632
