cat,TARGET_pol,25%,50%,75%,mean,n,TTR,CTTR,K
epistemic,negative,-0.5229,-0.4196,-0.17914,-0.344189211442786,12060,0.0985074626865672,7.64940735193393,73.1861697592744
epistemic,positive,0.16264,0.2925,0.50262,0.29987486791008,18283,0.0759175190067276,7.2585644717581,94.6895950932367
legal,negative,-0.5545825,-0.4385,-0.239095,-0.37518779379562,5480,0.127007299270073,6.64819826313757,198.618067025414
legal,positive,0,0.22149,0.44621,0.21159786278381,10130,0.0903257650542942,6.42837751787647,132.812041681244
tc,negative,-0.54799,-0.45258,-0.28638,-0.385370721649485,10864,0.0940721649484536,6.93331639900126,80.1035387850538
tc,positive,0.16407,0.3242,0.52159,0.305666930772955,12394,0.0896401484589317,7.05656449477623,125.267789655699
