"Var1" "Freq"
"1" "negligent" 8
"2" "good" 2
"3" "improper" 2
"4" "reckless" 2
"5" "dangerous" 1
"6" "imprudent" 1
"7" "inaccurate" 1
"8" "inadequate" 1
"9" "incomplete" 1
"10" "insufficient" 1
"11" "recent" 1
"12" "unseamanlike" 1
"13" "unwary" 1
"14" "wasteful" 1
"15" NA NA
"16" NA NA
"17" NA NA
"18" NA NA
"19" NA NA
"20" NA NA
"21" NA NA
"22" NA NA
"23" NA NA
"24" NA NA
"25" NA NA
"26" NA NA
"27" NA NA
"28" NA NA
"29" NA NA
"30" NA NA
